iter	Passed	Remaining
0	1	169
1	2	139
2	3	126
3	5	120
4	6	117
5	8	139
6	11	155
7	12	148
8	14	143
9	15	138
10	16	133
11	17	131
12	19	129
13	20	127
14	24	140
15	26	139
16	27	136
17	29	133
18	30	130
19	31	126
20	32	123
21	33	120
22	35	119
23	37	119
24	40	121
25	41	119
26	43	116
27	44	113
28	45	111
29	46	109
30	48	107
31	49	105
32	50	102
33	57	111
34	58	109
35	59	106
36	61	103
37	62	101
38	63	99
39	64	97
40	66	95
41	67	93
42	69	91
43	70	89
44	71	87
45	73	86
46	74	84
47	76	82
48	77	80
49	78	78
50	79	76
51	80	74
52	85	75
53	86	74
54	87	71
55	89	70
56	90	68
57	91	66
58	92	64
59	94	62
60	95	60
61	100	61
62	101	59
63	103	58
64	104	56
65	105	54
66	106	52
67	108	50
68	109	49
69	110	47
70	112	46
71	114	44
72	115	42
73	116	40
74	117	39
75	119	37
76	120	35
77	121	34
78	122	32
79	123	30
80	124	29
81	129	28
82	134	27
83	135	25
84	136	24
85	137	22
86	139	20
87	140	19
88	145	17
89	146	16
90	147	14
91	149	12
92	150	11
93	151	9
94	152	8
95	154	6
96	155	4
97	156	3
98	158	1
99	159	0
